Date,Time,Headline,Description,Source
2026-04-20,15:31:00,Adani Power eclipses Adani Ports to becomes Group’s most valuable stock with m-cap Rs 3.99 lakh crore,"Adani Power Limited surged nearly 5% on Monday to hit fresh 52-week high, becoming the most valuable Adani Group firm. The company, with a ₹3.99 lakh crore m-cap, surpassed Adani Ports and Special Economic Zone. Strong stock momentum, new subsidiary formation, and reaffirmed ratings supported investor sentiment on the Street.",The Economic Times
2026-04-17,10:01:56,"Price Action: Gujarat Gas, Adani Total Gas rally up to 6%; IT Stocks lag","Among Sensex gainers, Maruti Suzuki India rose 2 percent, while Hindustan Unilever and Adani Ports and Special Economic Zone gained over 1 percent each. ITC and Trent were up around 0.9 percent each.",Moneycontrol
2026-04-10,18:45:38,"Mundra becomes India's largest auto export hub, Adani Port ships record 6,008 cars in single vessel","Adani Ports and Special Economic Zone (APSEZ) on Thursday said that Mundra Port has emerged as India's largest automobile export hub, setting a national record by exporting 6,008 cars in a single vessel.",The Tribune
2026-04-08,13:59:52,"Adani Group to invest Rs 33,081 crore in Odisha in 3 projects, create 9,700 jobs: Karan Adani","Adani Group to invest Rs 33,081 crore in Odisha in 3 projects, create 9,700 jobs: Karan Adani - Bhubaneswar, April 8 Karan Adani, Managing Director of Adani Ports and Special Economic Zone (APSEZ), on Wednesday announced ... Get Latest News on Technology only on lokmattimes.com",Lokmat Times
2026-04-08,13:45:42,"Adani group announces Rs 33,081 crore investment in Odisha across data, power, cement projects","The Adani Group pledged three large-scale infrastructure projects in Odisha, focusing on digital infrastructure, energy security, and manufacturing. Karan Adani, Managing Director of Adani Ports and Special Economic Zone, detailed the initiatives at the ground breaking and inauguration ceremony of 36 industrial projects in Khordha. The expansion reflected a long-term commitment to the state's goal of becoming a USD 1.5 trillion economy by 2047.",The Tribune
2026-04-08,11:02:14,"Adani Group Stocks: Adani Ent, Adani Ports, Adani Green, ATGL rally 13%","Shares of Adani Group companies witnessed a strong rally in Wednesday’s trade. Adani Ports and Special Economic Zone advanced 8% to ₹1,490.20 and touched an intraday high of ₹1,505.70. Adani Power rose 6% to ₹174.35",The Hindu Business Line
2026-04-08,07:46:37,6 ‘Buy’ recommendations by Nomura with upside potential between 24-62%,"Nomura, a global brokerage firm, has reaffirmed Buy ratings on six stocks across various sectors, including defence, ports, consumer goods, and digital commerce. The stocks, including HAL, Adani Ports & Special Economic Zone, Dabur India, Marico, FSN E-Commerce Ventures, and Godrej Consumer Products | financialexpress.com",The Financial Express
2026-04-04,16:45:04,Adani Ports Submits Q4 FY26 Compliance Certificate Under SEBI Depositories Regulations,"Adani Ports and Special Economic Zone Limited submitted its Q4 FY26 confirmation certificate under SEBI Depositories Regulations to BSE and NSE on April 4, 2026. The certificate from registrar MUFG Intime India Private Limited confirms proper processing of dematerialisation requests and compliance with prescribed timelines for the quarter ended March 31, 2026.",scanx.trade
2025-12-23,17:49:34,Adani Ports and Special Economic Zone completes NQXT Australia acquisition to boost global port footprint,Adani Ports has acquired NQXT Australia. This move boosts its international operations and cargo handling goals. The deal received necessary approvals. NQXT is expected to contribute significantly to Adani Ports' future earnings. The Australian terminal offers strong EBITDA margins and stable cash flows. Adani Ports plans to expand NQXT's capacity. This acquisition enhances its position in global trade routes.,economictimes.indiatimes.com
2025-12-23,17:51:59,Adani Ports completes acquisition of NQXT Australia terminal,"Adani Ports has completed the acquisition of Australia’s NQXT export terminal, strengthening its global footprint along the East-West trade corridor.",thehindubusinessline.com
2026-04-22,15:01:49,Vikash Lohia tops 2026 Hurun India Successors 50 list on value growth,"Vikash Lohia of Jupiter Wagons tops the 2026 Hurun India Successors 50 list, with companies adding Rs 26.3 trillion in value since 2020",business-standard
2026-04-22,04:30:10,"5 reasons why HCL Tech shares crashed 10%: Targets as m-cap slips below ITC, 4 others","HCL Tech declined 9.7 per cent to hit a low of Rs 1,301.60 on BSE, taking its market capitalisation (m-cap) to Rs 3,55,530 crore.",businesstoday
2026-04-22,02:16:24,"Raja Venkatraman, MarketSmith recommend five stocks for 22 April","On April 21, Indian equity markets rebounded, with the Nifty 50 rising 0.87% and Sensex up 0.96%. Investors focused on global indicators, particularly the US-Iran talks. Analysts recommend buying Adani Ports, Gujarat Ambuja Exports, AU Small Finance Bank, Delhivery, and Cupid for potential gains.",livemint
2026-04-21,19:13:49,Adani Ports Said to Win Lenders’ Backing for Bankrupt Karanja Terminal Buy,"Adani Ports and Special Economic Zone (APSEZ) has reportedly secured backing from a lenders’ panel to acquire bankrupt Karanja Terminal & Logistics, marking another potential expansion move for India’s largest private port operator. According to market sources, creditors have supported Adani Ports’ bid under the insolvency resolution process, paving the way for the transaction to [...] The post Adani Ports Said to Win Lenders’ Backing for Bankrupt Karanja Terminal Buy appeared first on India Seatrade News .",indiaseatradenews
2026-04-21,12:19:30,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD. (ADANIPORTS) — StockWatch,"Live price, financials, corporate actions and updates for ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD. (BSE: 532921) in the Port & Port services sector.",stockwatch
2026-04-21,08:20:02,Barometers trade with major gains; VIX drops 6.20%,"The Nifty traded above the 24,550 mark. All the sectoral indices on the NSE were traded in the green, with realty, private bank and PSU Bank advancing the most.",business-standard
2026-04-22,07:21:10,"Adani Enterprises Schedules Board Meeting for Q4FY26 Results on April 30, 2026","Adani Enterprises Limited has scheduled its board meeting for April 30, 2026, to approve Q4FY26 audited financial results, consider dividend recommendations for FY2025-26, and discuss fund raising through various modes including private placement and qualified institutional placement. The company has implemented a trading window closure from April 1, 2026, until 48 hours post-results announcement. A post-results investor conference call is planned for the same day at 5:00 PM IST with senior management participation to discuss financial performance and business outlook.",scanx.trade
2026-04-21,08:25:07,Adani Enterprises board meets on April 30 to discuss three important matters; Details here,"The Adani Enterprises board will also consider and approval the fundraising proposal via issuance of equity shares or any other eligible securities via permissible modes, including but not limited to a private placement, a qualified institutions placement, preferential issue, or any other method, the company said.",CNBC TV18
2026-04-20,15:34:05,"Jaypee insolvency: CoC picks Adani, rejects Vedanta’s late bid tweak","In the resolution process, Adani Enterprises scored about 70.26 marks, well ahead of Vedanta Limited’s 58.85, and the difference was mainly due to Adani’s higher upfront payment and stronger commitments on deferred payments and equity infusion.",The New Indian Express
2026-04-16,21:35:26,"CCI gives clean chit to Adani Enterprises, Adani Green in solar tender probe","The Competition Commission of India (CCI) has given a clean chit to Adani Enterprises Ltd and Adani Green Energy Limited in a case related to a Solar Energy Corporation of India (SECI) tender, finding no prima facie evidence of anti-competitive conduct or abuse of dominance.",The Tribune
2026-04-16,14:31:00,Vedanta challenges CoC scoring method in Jaypee's resolution plan at NCLAT; matter to continue tomorrow,"The National Company Law Appellate Tribunal (NCLAT) on Thursday heard detailed submissions on behalf of Vedanta Limited challenging the approval of Adani Enterprises' Rs 14,535-crore resolution plan for Jaiprakash Associates Ltd (JAL), with the matter now slated for further hearing tomorrow.",The Tribune
2026-04-15,17:18:07,"Adani Enterprises Allots 90,11,048 Equity Shares Following NCLT-Approved Amalgamation","Adani Enterprises Limited has allotted 90,11,048 equity shares of Re. 1/- face value each to eligible shareholders of Adani Emerging Business Private Limited, following Management Committee approval on April 15, 2026. The allotment was executed pursuant to a Composite Scheme of Amalgamation approved by NCLT Ahmedabad Bench on March 16, 2026. The company's paid-up share capital increased from 1,29,26,82,416 shares to 1,30,16,93,464 shares, with the new shares proposed for listing on BSE and NSE.",scanx.trade
2026-04-12,20:10:03,Adani Enterprises Forms Four Airport City Subsidiaries With ₹10 Lakh Capital Each,"Adani Enterprises has incorporated four wholly owned subsidiaries through Adani Airport City Limited - AMACL, AJACL, ALACL, and ATACL - each with ₹10 lakh paid-up capital. The subsidiaries will focus on airport city development including real estate activities, construction, and hospitality services across Mangaluru, Jaipur, Lucknow, and Thiruvananthapuram markets.",scanx.trade
2026-04-10,14:14:47,"‘Fair and transparent process’: Jaypee founder backs resolution; Adani Ent gains 2.23%, JP Power up 1.37%","Adani Enterprises secured creditor approval for its Rs 14,535 crore bid to acquire the bankrupt infrastructure group, outbidding Vedanta Limited and Dalmia Bharat",Moneycontrol
2026-04-09,00:06:24,"Adani Enterprises Submits Non-Convertible Debentures Disclosure for Half Year Ended March 31, 2026","Adani Enterprises Limited filed its NCD disclosure for the half year ended March 31, 2026, detailing 24 ISIN securities with ₹10,00,00,00,000 outstanding amount. The disclosure covers debentures across three allotment periods from September 2024 to January 2026, all listed on BSE and NSE. The company reported no defaults in debt servicing, maintaining compliance with SEBI regulations.",scanx.trade
2026-04-06,23:00:17,Adani Enterprises Submits SEBI Compliance Certificate for Q4 FY26,"Adani Enterprises Limited submitted its mandatory compliance certificate under SEBI Regulation 74(5) for Q4 FY26 ended 31st March 2026. The certificate from RTA MUFG Intime India Private Limited confirms proper processing of dematerialised securities, timely confirmation to depositories, and compliance with prescribed timelines for security certificate handling and member register updates.",scanx.trade
2025-12-19,11:36:19,Adani seeks to operate more airports as part of $11 billion expansion,Adani Enterprises aims to secure 11 government-leased airports. This move is part of a significant $11 billion expansion strategy for airport infrastructure. The company is already India's largest airport operator by number of airports. India's aviation sector is experiencing rapid growth.,economictimes.indiatimes.com
2026-04-22,12:00:42,Centre Notifies Dedicated Rail Corridor For Sijimali & Kutrumali Bauxite Mines In Odisha,"New Delhi/Bhubaneswar: The Centre has formally notified development of a dedicated railway line, connecting Sijimali and Kutrumali bauxite mines, to strengthen the mineral transportation network in mineral-rich regions of Odisha. The April 21 notification of the Ministry of Railways accorded 'Special Railway Project' status to the new BG line connecting Tikiri station with Kutrumali and Sijimali bauxite mines on Waltair...",odishabytes
2026-04-22,10:25:20,"Adani Enterprise subsidiary raises Rs 6,000 crore loan to set up greenfield copper plant","Kutch Copper Limited (KCL), a subsidiary of Adani Enterprises, said on Sunday that it has raised a debt of Rs 6,071 to set up a copper refinery in Mundra, Gujarat.",business2business_co_in
2026-04-22,08:28:12,Karan Adani Tops Absolute Wealth Creation With Rs 2.67 Lakh Crore Gain,"Karan Adani, son of Gautam Adani, founder of chairman of Adani Group has topped the category with Rs 2,67,525 crore in value creation.",ndtv
2026-04-22,00:30:01,Stock Market Today: All You Need To Know Before Going Into Trade On April 22,"Stocks in the news, big brokerage calls of the day, complete trade setup and much more!",ndtv
2026-04-21,16:39:58,Gujarat’s giant leap: From factories to future—a trillion-dollar blueprint takes shape,"Over 100 Fortune 500 firms anchor Gujarat’s rise as India’s global investment magnet Bhupendra Patel pitches trillion-dollar vision, targets 10% share in national GDP Semiconductors, data centres, GCCs and defence power next growth wave Harsh Sanghavi bets big: data centre capacity to outpace rest of India combined Dholera, Sanand emerge as semiconductor and manufacturing powerhouses [...]",navjeevanexpress
2026-04-21,16:39:40,"As Ahmedabad races to host 2030 Commonwealth, policy for expos, concerts, new hotels in the works: Gujarat Deputy CM",Harsh Sanghavi said the state government was moving ahead to make Ahmedabad the sports capital by adding new infrastructure.,indianexpress
2026-04-21,14:15:51,"With over hundred ‘Fortune 500’ companies operating in the state, Gujarat’s stands as a preferred destination for global capital ‘Viksit Bharat’ means ‘Viksit Gujarat’: Chief Minister","Ahmedabad: More than 100 ‘Fortune 500’ companies currently operate in the state, underscoring Gujarat’s standing as a preferred destination for global capital. Addressing FICCI’s National Executive Committee Meeting, Gujarat Chief Minister Mr Bhupendrabhai Patel shared the ambitious industrial roadmap for the state, aiming to grow its economy to USD 3.5 trillion by 2047. Honourable Chief Minister Mr Bhupendrabhai [...]",khabarpatri
2026-04-21,13:24:24,"Business News | Gujarat CM Patel Targets Trillion-dollar Economy, Says 'Viksit Bharat Means Viksit Gujarat'","Get latest articles and stories on Business at LatestLY. Gujarat Chief Minister Bhupendrabhai Patel on Tuesday laid out an ambitious industrial roadmap for the state at FICCI's National Executive Committee Meeting, targeting a trillion-dollar economy and a 10 per cent share of national GDP, according to the official statement by FICCI.",latestly
2026-04-21,13:00:54,"Gujarat eyes trillion-dollar economy, 10% of India's GDP: CM Patel","Gujarat CM Bhupendrabhai Patel announced an ambitious roadmap for the state to become a trillion-dollar economy and contribute 10% to national GDP, highlighting the state's growing role in the global semiconductor supply chain at a FICCI meeting.",newsable_asianetnews
2026-04-22,21:55:28,NCLAT Reserves Verdict On Vedanta Plea Against Adani Enterprises Takeover Of Jaiprakash Associates,"NCLAT on Wednesday reserved its order on Vedanta’s petitions challenging lenders’ approval of Adani Enterprises’ ₹14,535 crore bid for Jaiprakash Associates Ltd. Vedanta questioned evaluation metrics after its higher ₹17,926 crore offer was rejected. The CoC said bids were assessed on feasibility and execution, not just value. Parties were asked to file written submissions within two days.",Free Press Journal
2026-04-22,20:43:34,"From ₹4.6 tn to ₹30.9 tn in 6 years: Jupiter Wagons, Adani Ports among India's top next-gen wealth creators. Check list","Jupiter Wagons’ Vikash Lohia tops the 2026 ASK Private Wealth Hurun India Successors 50 list. The growth of next-generation promoter-led companies outperformed the Nifty 50 and BSE Sensex indices during the same period, which grew by 3 times and 2.8 times, respectively.",Livemint
2026-04-22,20:34:00,Market Trading Guide: Buy Adani Green and HBL Engineering on Thursday for gains up to 16%,"Nifty 50 ended lower, breaking its winning streak amid IT and FMCG weakness. Technical indicators show mixed signals with bearish bias short term. Analysts highlight support levels and recommend selective buying in Adani Green Energy and HBL Engineering.",The Economic Times
2026-04-22,19:16:25,NCLAT reserves verdict on Vedanta challenge to Adani JAL resolution plan,NCLAT has reserved judgment on Vedanta's appeals challenging approval of Adani Enterprises' resolution plan for Jaiprakash Associates Ltd.,Business Standard
2026-04-22,17:42:27,"The Rs 26 lakh crore surge: Meet India’s next-gen wealth creators: Jupiter Wagons, Adani Ports, Sun Pharma among top 10","According to the report, Vikash Lohia of Jupiter Wagons leads with a 152.8x growth multiple. Behind him, in a tie at second place, are Amit Dahanukar of Tilaknagar Industries, a fourth-generation leader of a 93-year-old liquor company, and Abhyuday Jindal of Jindal Stainless, a third-generation leader in steel, both having delivered a 52.5x growth multiple.",The Financial Express
2026-04-22,16:31:59,NCLAT reserves order on Vedanta's pleas against selection of Adani's bid for JAL,"On March 24, NCLAT declined any interim stay over the Vedanta Group's plea against the order passed by the NCLT on March 17, approving Adani Group's bid",The Hindu Business Line
2026-04-22,15:53:16,NCLAT reserves order on Vedanta's pleas against selection of Adani's bid for JAL,NCLAT reserves order on Vedanta's challenge against Adani's bid for JAL amid questions on evaluation metrics by JAL lenders.,The Hindu
2026-04-22,15:37:12,"NCLAT reserves order on Vedanta plea against Adani’s Rs 14,535 crore JAL bid","The NCLAT has reserved its verdict on Vedanta’s petitions challenging the approval of Adani Enterprises’ Rs 14,535 crore bid for Jaiprakash Associates. The tribunal asked parties to file written submissions. Vedanta has questioned the evaluation process, while lenders defended the decision, citing compliance with IBC rules and multiple selection criteria.",The Financial Express
2026-04-22,15:00:38,NCLAT Reserves Order on Vedanta vs. Adani Insolvency Bidding Battle,"The National Company Law Appellate Tribunal (NCLAT) reserved its decision on Vedanta's challenge against Adani Enterprises' bid for debt-ridden Jaiprakash Associates Ltd. Vedanta questioned the evaluation process, claiming its higher bid was overlooked. The case remains unresolved, pending Tribunal approval of any policy decisions.",Devdiscourse
2026-04-22,15:00:05,NCLAT reserves order on Vedanta's pleas against selection of Adani's bid for JAL,NCLAT reserves order on Vedanta's pleas against selection of Adani's bid for JAL,News18
2025-12-19,18:19:01,Adani group to commercially develop 240 acres at Navi Mumbai airport: Jeet Adani,"‘Navi Mumbai airport can handle 20 million passengers, but the total demand is still higher. That is why we are starting the development of the second terminal at Navi Mumbai in the next six months’",thehindubusinessline.com
2025-12-20,08:11:47,"Adani eyes 12 more airports, checks into hospitality biz","India Business News: MUMBAI: Adani Group, India’s fifth-largest conglomerate by market value, intends to bid for nearly a dozen airports slated for privatisation as part o.",timesofindia.indiatimes.com
2025-12-22,12:35:35,Adani Total Gas appoints Preyash Jhaveri as Interim CFO,"Adani Total Gas has appointed Preyash Jhaveri as its Interim Chief Financial Officer. This appointment is effective from December 22, 2025. Jhaveri has been designated as a key managerial personnel. He brings over 30 years of experience in finance and accounting across various sectors. Jhaveri has been with Adani Total Gas since 2007.",economictimes.indiatimes.com
2026-04-22,18:03:21,"Stocks To Watch: Infosys, Tata Capital, BEL, Jio Financial Services And Trent",Here's a look at stocks that are likely to be in focus during the trading session on Thursday,ndtvprofit
2026-04-22,18:00:25,CII Apple Conclave: Adani's Digital Mandis to Tackle 'Triple Threat',"The 7th CII Apple Conclave in Himachal addressed the 'triple threat' to the state's ₹6,000-crore apple industry. Adani Agri Fresh announced the rollout of Digital Mandis across its plants, aiming to provide transparent pricing for over 17,000 farmers.",newsable_asianetnews
2026-04-22,17:56:22,"India News | Digital Mandis, Tech Integration: Adani, CII Chart Future of Himachal's Apple Economy","Get latest articles and stories on India at LatestLY. A major highlight of the conclave was the announcement by Adani Agri Fresh to scale up its digital interventions. Following a successful pilot that traded nearly 1,000 tonnes last year, the company is set to launch Digital Mandis across all its major plants.",latestly
2026-04-22,17:47:26,Adani expands digital mandis to transform Himachal Pradesh apple economy,"Adani Agri Fresh plans to expand digital mandis in Himachal Pradesh's ₹6,000-crore apple industry, improving price discovery for farmers and reducing intermediaries.",thenewsmill
2026-04-22,17:33:03,"Vedanta questions commercial wisdom, evaluation matrix in JAL insolvency; NCLAT reserves order","Senior advocate Abhijeet Sinha, representing Vedanta in his rejoinder submission, said there are several issues on which clarity is required from the Committee of Creditors (CoC).",moneycontrol
2026-04-22,16:25:53,"Adani Group to Invest USD 2 Billion in International Convention Centre, Challenges Jio World Centre","Spread across a sprawling area, the ICC will feature state-of-the-art infrastructure, cutting-edge technology, and luxury amenities, ensuring an unparalleled experience for visitor",business2business_co_in
2026-04-22,16:25:30,NCLAT Reserves Verdict On Vedanta Plea Against Adani Enterprises Takeover Of Jaiprakash Associates,"NCLAT on Wednesday reserved its order on Vedanta’s petitions challenging lenders’ approval of Adani Enterprises’ ₹14,535 crore bid for Jaiprakash Associates Ltd. Vedanta questioned evaluation metrics after its higher ₹17,926 crore offer was rejected. The CoC said bids were assessed on feasibility and execution, not just value. Parties were asked to file written submissions within two days.",freepressjournal
2026-04-22,16:15:07,Jupiter Wagons' Vikash Lohia fastest wealth multiplier among India Inc's scions,Jupiter Wagons' Vikash Lohia fastest wealth multiplier among India Inc's scions,news18
2026-04-22,16:13:48,Jupiter Wagons' Vikash Lohia fastest wealth multiplier among India Inc's scions,"Mumbai, Apr 22 (PTI) Jupiter Wagons' deputy managing director Vikash Lohia has emerged as the fastest wealth multiplier among India",theweek_in
2026-04-22,16:05:35,Jupiter Wagons' Vikash Lohia fastest wealth multiplier among India Inc's scions,"Mumbai, Apr 22 (PTI) Jupiter Wagons' deputy managing director Vikash Lohia has emerged as the fastest wealth multiplier among India Inc's scions, as per a report released on Wednesday. Over the last six years, Jupiter's market cap has increased by 152.8 times, leading Lohia, a second-generation member of the promoter family, to occupy the top slot in the inaugural 'ASK Private Wealth Hurun India Successors 50' list. Amit Dahanukar, who is part of the fourth generation in the family running liquor maker Tilaknagar Industries, comes joint second with Jindal Stainless' Abhyudaya Jindal, for multiplying the market-cap of their respective companies by 52.5 times each. Karan Adani of Adani Ports and SEZ tops the list of absolute volume gainers with Rs 2.67 lakh crore, as per the list. The 50 companies led by scions have a combined market capitalisation of Rs 30.9 lakh crore or approximately USD 370 billion, it said. ""Over the coming decade, an estimated USD 2 trillion in family business value will pass from founders to their successors, making the next generation arguably the most consequential cohort in Indian capitalism today,"" Hurun India's founder and chief researcher Anas Rahman Junaid said. The list features ten women across nine companies, while Devansh Jain of INOXGFL Group is the youngest on the list. Entities from the auto sector lead with nine of the 50 entities, while healthcare comes next with six. Mumbai and New Delhi jointly reign supreme as the leading hubs for India's next generation business leaders, with each city serving as headquarters for as many as six companies. PTI AA DRR",newsdrum_in
